Bar Diameter,Maximum bar length,Reinforcement Volume,Rebar Number,Mark,Total Bar Length,Quantity,Workset,Host Category,Host Mark,REBAR-PARTITION,WEIGHT IN KG,Style,Bend Diameter
12 mm,9187 mm,3116.93 cm³,1364,1364,27560 mm,3,STR-Model,Floor,,SOG-Mesh TOP Y,24.499047,Standard,48 mm
12 mm,8884 mm,3014.32 cm³,1503,1267,26652 mm,3,STR-Model,Floor,,SOG-Mesh TOP Y,23.692592,Standard,48 mm
12 mm,1093 mm,865.40 cm³,1502,1502,7652 mm,7,STR-Model,Floor,,SOG-Mesh TOP Y,6.802061,Standard,48 mm
12 mm,3418 mm,3092.66 cm³,2954,3007,27345 mm,8,STR-Model,Floor,,SOG-Mesh TOP Y,24.308337,Standard,48 mm
12 mm,3435 mm,776.99 cm³,1358,1358,6870 mm,2,STR-Model,Floor,,SOG-Mesh TOP Y,6.107136,Standard,48 mm
12 mm,6736 mm,1523.76 cm³,1351,1351,13473 mm,2,STR-Model,Floor,,SOG-Mesh TOP Y,11.976734,Standard,48 mm
12 mm,2336 mm,528.35 cm³,1406,1304,4672 mm,2,STR-Model,Floor,,SOG-Mesh TOP Y,4.152855,Standard,48 mm
12 mm,6729 mm,1522.12 cm³,1402,1402,13459 mm,2,STR-Model,Floor,,SOG-Mesh TOP Y,11.963902,Standard,48 mm
12 mm,1687 mm,1907.46 cm³,1778,1778,16866 mm,10,STR-Model,Floor,,SOG-Mesh TOP Y,14.992611,Standard,48 mm
12 mm,1192 mm,134.77 cm³,1376,1274,1192 mm,1,STR-Model,Floor,,SOG-Mesh TOP Y,1.059262,Standard,48 mm
12 mm,7037 mm,15120.51 cm³,1398,1398,133695 mm,19,STR-Model,Floor,,SOG-Mesh TOP Y,118.847226,Standard,48 mm
12 mm,8986 mm,8130.06 cm³,1374,1374,71886 mm,8,STR-Model,Floor,,SOG-Mesh TOP Y,63.902303,Standard,48 mm
12 mm,1768 mm,1799.75 cm³,1366,1366,15913 mm,9,STR-Model,Floor,,SOG-Mesh TOP Y,14.146045,Standard,48 mm
12 mm,931 mm,105.28 cm³,3329,3303,931 mm,1,STR-Model,Floor,,SOG-Mesh TOP Y,0.827508,Standard,48 mm
12 mm,515 mm,58.19 cm³,2306,2306,515 mm,1,STR-Model,Floor,,SOG-Mesh TOP Y,0.457381,Standard,48 mm
12 mm,2838 mm,2889.05 cm³,1368,1368,25545 mm,9,STR-Model,Floor,,SOG-Mesh TOP Y,22.707946,Standard,48 mm
12 mm,1687 mm,572.24 cm³,1778,1778,5060 mm,3,STR-Model,Floor,,SOG-Mesh TOP Y,4.497783,Standard,48 mm
12 mm,1686 mm,762.83 cm³,2305,2305,6745 mm,4,STR-Model,Floor,,SOG-Mesh TOP Y,5.995854,Standard,48 mm
12 mm,1385 mm,156.61 cm³,1418,1418,1385 mm,1,STR-Model,Floor,,SOG-Mesh TOP Y,1.230992,Standard,48 mm
12 mm,3937 mm,8460.01 cm³,1461,1461,74803 mm,19,STR-Model,Floor,,SOG-Mesh TOP Y,66.495645,Standard,48 mm
12 mm,4748 mm,10203.27 cm³,1390,1390,90217 mm,19,STR-Model,Floor,,SOG-Mesh TOP Y,80.197697,Standard,48 mm
12 mm,931 mm,841.93 cm³,1419,1316,7444 mm,8,STR-Model,Floor,,SOG-Mesh TOP Y,6.617566,Standard,48 mm
12 mm,1660 mm,5068.99 cm³,1415,1415,44820 mm,27,STR-Model,Floor,,SOG-Mesh TOP Y,39.842278,Standard,48 mm
12 mm,3937 mm,7570.13 cm³,1384,1384,66935 mm,17,STR-Model,Floor,,SOG-Mesh TOP Y,59.501233,Standard,48 mm
12 mm,4738 mm,4823.13 cm³,1462,1359,42646 mm,9,STR-Model,Floor,,SOG-Mesh TOP Y,37.909808,Standard,48 mm
12 mm,4287 mm,6302.38 cm³,1399,1399,55725 mm,13,STR-Model,Floor,,SOG-Mesh TOP Y,49.536737,Standard,48 mm
12 mm,4648 mm,4731.34 cm³,2617,2649,41834 mm,9,STR-Model,Floor,,SOG-Mesh TOP Y,37.188332,Standard,48 mm
12 mm,236 mm,293.06 cm³,1403,1403,2591 mm,11,STR-Model,Floor,,SOG-Mesh TOP Y,2.30342,Standard,48 mm
12 mm,2336 mm,1056.71 cm³,1406,1304,9343 mm,4,STR-Model,Floor,,SOG-Mesh TOP Y,8.305711,Standard,48 mm
12 mm,2636 mm,596.21 cm³,1405,1405,5272 mm,2,STR-Model,Floor,,SOG-Mesh TOP Y,4.686234,Standard,48 mm
12 mm,3694 mm,417.79 cm³,1386,1386,3694 mm,1,STR-Model,Floor,,SOG-Mesh TOP Y,3.283867,Standard,48 mm
12 mm,2335 mm,264.13 cm³,1400,1400,2335 mm,1,STR-Model,Floor,,SOG-Mesh TOP Y,2.076026,Standard,48 mm
12 mm,1437 mm,162.51 cm³,1401,1401,1437 mm,1,STR-Model,Floor,,SOG-Mesh TOP Y,1.27734,Standard,48 mm
12 mm,6767 mm,6887.52 cm³,1426,1323,60899 mm,9,STR-Model,Floor,,SOG-Mesh TOP Y,54.135918,Standard,48 mm
12 mm,8486 mm,19195.63 cm³,1421,1318,169727 mm,20,STR-Model,Floor,,SOG-Mesh TOP Y,150.87766,Standard,48 mm
12 mm,8486 mm,23994.54 cm³,1421,1318,212158 mm,25,STR-Model,Floor,,SOG-Mesh TOP Y,188.597075,Standard,48 mm
12 mm,8586 mm,18450.73 cm³,1379,1379,163140 mm,19,STR-Model,Floor,,SOG-Mesh TOP Y,145.022773,Standard,48 mm
12 mm,6743 mm,762.59 cm³,1382,1382,6743 mm,1,STR-Model,Floor,,SOG-Mesh TOP Y,5.993973,Standard,48 mm
12 mm,8139 mm,21172.09 cm³,1481,1380,187202 mm,23,STR-Model,Floor,,SOG-Mesh TOP Y,166.412659,Standard,48 mm
12 mm,3573 mm,5657.47 cm³,1482,1381,50023 mm,14,STR-Model,Floor,,SOG-Mesh TOP Y,44.467709,Standard,48 mm
12 mm,3865 mm,10052.83 cm³,1484,1383,88887 mm,23,STR-Model,Floor,,SOG-Mesh TOP Y,79.015241,Standard,48 mm
12 mm,12001 mm,13572.62 cm³,1485,1485,120008 mm,10,STR-Model,Floor,,SOG-Mesh TOP Y,106.680773,Standard,48 mm
12 mm,4201 mm,4275.71 cm³,1486,1385,37806 mm,9,STR-Model,Floor,,SOG-Mesh TOP Y,33.607117,Standard,48 mm
12 mm,3164 mm,8229.09 cm³,1487,1487,72761 mm,23,STR-Model,Floor,,SOG-Mesh TOP Y,64.680617,Standard,48 mm
12 mm,3916 mm,4428.43 cm³,1431,1328,39156 mm,10,STR-Model,Floor,,SOG-Mesh TOP Y,34.80749,Standard,48 mm
12 mm,3915 mm,4427.33 cm³,1433,1433,39146 mm,10,STR-Model,Floor,,SOG-Mesh TOP Y,34.798798,Standard,48 mm
12 mm,3651 mm,5781.34 cm³,1488,1387,51118 mm,14,STR-Model,Floor,,SOG-Mesh TOP Y,45.44131,Standard,48 mm
12 mm,7955 mm,4498.45 cm³,1432,1329,39775 mm,5,STR-Model,Floor,,SOG-Mesh TOP Y,35.357817,Standard,48 mm
12 mm,11000 mm,33589.97 cm³,1440,1337,297001 mm,27,STR-Model,Floor,,SOG-Mesh TOP Y,264.017177,Standard,48 mm
12 mm,12000 mm,36643.54 cm³,433,433,324000 mm,27,STR-Model,Floor,,SOG-Mesh TOP Y,288.018199,Standard,48 mm
12 mm,6385 mm,7943.94 cm³,1489,1388,70240 mm,11,STR-Model,Floor,,SOG-Mesh TOP Y,62.439363,Standard,48 mm
12 mm,774 mm,962.76 cm³,1490,1490,8513 mm,11,STR-Model,Floor,,SOG-Mesh TOP Y,7.567269,Standard,48 mm
12 mm,6372 mm,11530.77 cm³,1444,1341,101954 mm,16,STR-Model,Floor,,SOG-Mesh TOP Y,90.631887,Standard,48 mm
12 mm,6242 mm,3529.58 cm³,1492,1492,31208 mm,5,STR-Model,Floor,,SOG-Mesh TOP Y,27.742495,Standard,48 mm
12 mm,11982 mm,6775.81 cm³,1491,1491,59911 mm,5,STR-Model,Floor,,SOG-Mesh TOP Y,53.257905,Standard,48 mm
12 mm,9929 mm,5614.53 cm³,1903,1748,49643 mm,5,STR-Model,Floor,,SOG-Mesh TOP Y,44.130181,Standard,48 mm
12 mm,2524 mm,1427.20 cm³,1493,1493,12619 mm,5,STR-Model,Floor,,SOG-Mesh TOP Y,11.217757,Standard,48 mm
12 mm,700 mm,3959.81 cm³,2158,2158,35012 mm,50,STR-TRENCH,Wall,,TRENCH,31.12409,Standard,48 mm
12 mm,700 mm,3959.81 cm³,2158,2158,35012 mm,50,STR-TRENCH,Wall,200 THK. RC TRENCH,TRENCH,31.12409,Standard,48 mm
12 mm,750 mm,4242.55 cm³,1495,1495,37512 mm,50,STR-TRENCH,Floor,,TRENCH,33.346453,Standard,48 mm
12 mm,700 mm,4593.38 cm³,2158,2158,40614 mm,58,STR-TRENCH,Wall,,TRENCH,36.103945,Standard,48 mm
12 mm,700 mm,4593.38 cm³,2158,2158,40614 mm,58,STR-TRENCH,Wall,,TRENCH,36.103945,Standard,48 mm
12 mm,750 mm,4921.36 cm³,1495,1495,43514 mm,58,STR-TRENCH,Floor,,TRENCH,38.681885,Standard,48 mm
12 mm,700 mm,4593.38 cm³,2158,2158,40614 mm,58,STR-TRENCH,Wall,,TRENCH,36.103945,Standard,48 mm
12 mm,700 mm,4593.38 cm³,2158,2158,40614 mm,58,STR-TRENCH,Wall,,TRENCH,36.103945,Standard,48 mm
12 mm,750 mm,4921.36 cm³,1495,1495,43514 mm,58,STR-TRENCH,Floor,,TRENCH,38.681885,Standard,48 mm
12 mm,1800 mm,10385.19 cm³,2159,1999,91825 mm,51,STR-TRENCH,Floor,,TRENCH,81.627623,Standard,48 mm
12 mm,700 mm,4039.00 cm³,2158,2158,35713 mm,51,STR-TRENCH,Wall,,TRENCH,31.746572,Standard,48 mm
12 mm,700 mm,4039.00 cm³,2158,2158,35713 mm,51,STR-TRENCH,Wall,,TRENCH,31.746572,Standard,48 mm
12 mm,750 mm,4327.40 cm³,1495,1495,38263 mm,51,STR-TRENCH,Wall,,TRENCH,34.013382,Standard,48 mm
12 mm,2643 mm,2092.43 cm³,1506,1506,18501 mm,7,STR-Model,Floor,,Ramp,16.446512,Standard,48 mm
12 mm,2643 mm,2092.43 cm³,1506,1506,18501 mm,7,STR-Model,Floor,,Ramp,16.446537,Standard,48 mm
12 mm,1588 mm,1436.44 cm³,1508,1508,12701 mm,8,STR-Model,Structural Framing,,Ramp,11.290452,Stirrup / Tie,48 mm
12 mm,2500 mm,1696.46 cm³,1513,1513,15000 mm,6,STR-Model,Floor,,Ramp,13.334176,Standard,48 mm
12 mm,2500 mm,1696.46 cm³,1513,1513,15000 mm,6,STR-Model,Structural Framing,,Ramp,13.334176,Standard,48 mm
12 mm,1500 mm,3731.92 cm³,1516,1516,32997 mm,22,STR-Model,Floor,,Ramp,29.332884,Standard,48 mm
12 mm,2500 mm,2827.27 cm³,1520,1520,24999 mm,10,STR-Model,Floor,,Ramp,22.222312,Standard,48 mm
12 mm,4599 mm,5201.07 cm³,1517,1412,45988 mm,10,STR-Model,Floor,,Ramp,40.880436,Standard,48 mm
12 mm,2153 mm,5356.75 cm³,1522,1522,47364 mm,22,STR-Model,Floor,,Ramp,42.104075,Standard,48 mm
12 mm,8385 mm,948.28 cm³,1380,1278,8385 mm,1,STR-Model,Floor,,SOG-Mesh TOP Y,7.453512,Standard,48 mm
12 mm,2030 mm,1377.53 cm³,1536,1427,12180 mm,6,STR-Model,Floor,,Ramp,10.827351,Standard,48 mm
12 mm,2030 mm,1377.53 cm³,1536,1427,12180 mm,6,STR-Model,Slab Edge,,Ramp,10.827351,Standard,48 mm
12 mm,3195 mm,1084.04 cm³,1254,1254,9585 mm,3,STR-Model,Slab Edge,,Ramp,8.520538,Standard,48 mm
12 mm,3195 mm,1084.04 cm³,1254,1254,9585 mm,3,STR-Model,Floor,,Ramp,8.520538,Standard,48 mm
12 mm,3195 mm,1084.04 cm³,1254,1254,9585 mm,3,STR-Model,Slab Edge,,Ramp,8.520538,Standard,48 mm
12 mm,3195 mm,1084.04 cm³,1254,1254,9585 mm,3,STR-Model,Floor,,Ramp,8.520538,Standard,48 mm
12 mm,8380 mm,3791.02 cm³,1546,1434,33520 mm,4,STR-Model,Floor,,UPSTAND,29.797438,Standard,48 mm
12 mm,12000 mm,5428.67 cm³,433,433,48000 mm,4,STR-Model,Wall,,UPSTAND,42.669363,Standard,48 mm
12 mm,4929 mm,5016.85 cm³,1540,1435,44359 mm,9,STR-Model,Wall,,Ramp,39.432432,Standard,48 mm
12 mm,1757 mm,1589.47 cm³,1542,1437,14054 mm,8,STR-Model,Structural Foundation,,Ramp,12.493222,Standard,48 mm
12 mm,4893 mm,4427.34 cm³,1544,1544,39146 mm,8,STR-Model,Structural Foundation,,Ramp,34.798856,Standard,48 mm
12 mm,1759 mm,1591.23 cm³,1545,1440,14070 mm,8,STR-Model,Structural Foundation,,Ramp,12.507101,Standard,48 mm
12 mm,1745 mm,1972.99 cm³,1548,1442,17445 mm,10,STR-Model,Wall,,Ramp,15.507688,Standard,48 mm
12 mm,1746 mm,1974.67 cm³,1551,1445,17460 mm,10,STR-Model,Wall,,Ramp,15.520907,Standard,48 mm
12 mm,1620 mm,1648.96 cm³,1549,1549,14580 mm,9,STR-Model,Structural Foundation,,Ramp,12.960819,Standard,48 mm
12 mm,1620 mm,1465.74 cm³,1549,1549,12960 mm,8,STR-Model,Structural Foundation,,Ramp,11.520728,Standard,48 mm
12 mm,1620 mm,1648.96 cm³,1549,1549,14580 mm,9,STR-Model,Structural Foundation,,Ramp,12.960819,Standard,48 mm
12 mm,1620 mm,1465.74 cm³,1549,1549,12960 mm,8,STR-Model,Wall,,Ramp,11.520728,Standard,48 mm
12 mm,1620 mm,1648.96 cm³,1549,1549,14580 mm,9,STR-Model,Structural Foundation,,Ramp,12.960819,Standard,48 mm
12 mm,1620 mm,1465.74 cm³,1549,1549,12960 mm,8,STR-Model,Structural Foundation,,Ramp,11.520728,Standard,48 mm
12 mm,1620 mm,1648.96 cm³,1549,1549,14580 mm,9,STR-Model,Structural Foundation,,Ramp,12.960819,Standard,48 mm
12 mm,1620 mm,1465.74 cm³,1549,1549,12960 mm,8,STR-Model,Wall,,Ramp,11.520728,Standard,48 mm
12 mm,2387 mm,809.93 cm³,1532,1426,7161 mm,3,STR-Model,Floor,,Ramp,6.366055,Standard,48 mm
12 mm,2380 mm,807.51 cm³,1531,1425,7140 mm,3,STR-Model,Wall,,Ramp,6.347068,Standard,48 mm
12 mm,2387 mm,809.93 cm³,1532,1426,7161 mm,3,STR-Model,Floor,,Ramp,6.366055,Standard,48 mm
12 mm,2380 mm,807.51 cm³,1531,1425,7140 mm,3,STR-Model,Wall,,Ramp,6.347068,Standard,48 mm
12 mm,1000 mm,3166.87 cm³,1561,1561,28001 mm,28,STR-Model,Floor,Upstand,SOG-Mesh TOP X,24.891596,Standard,48 mm
12 mm,5355 mm,1211.27 cm³,1562,1456,10710 mm,2,STR-Model,Floor,Upstand,SOG-Mesh TOP Y,9.520602,Standard,48 mm
12 mm,998 mm,8243.24 cm³,1905,1750,72886 mm,73,STR-Model,Floor,Upstand,SOG-Mesh TOP X,64.791888,Standard,48 mm
12 mm,2650 mm,2098.15 cm³,1565,1565,18552 mm,7,STR-Model,Floor,,Ramp,16.491473,Standard,48 mm
12 mm,2626 mm,2079.15 cm³,1566,1566,18384 mm,7,STR-Model,Floor,,Ramp,16.34213,Standard,48 mm
12 mm,1076 mm,1703.10 cm³,1567,1567,15059 mm,14,STR-Model,Floor,,Ramp,13.386332,Stirrup / Tie,48 mm
12 mm,1464 mm,1821.25 cm³,1568,1462,16103 mm,11,STR-Model,Slab Edge,,Ramp,14.315012,Stirrup / Tie,48 mm
12 mm,1705 mm,2314.00 cm³,1569,1569,20460 mm,12,STR-Model,Floor,,Ramp,18.188035,Standard,48 mm
12 mm,3128 mm,4245.30 cm³,1570,1570,37537 mm,12,STR-Model,Floor,,Ramp,33.368057,Standard,48 mm
12 mm,1580 mm,1072.16 cm³,1571,1465,9480 mm,6,STR-Model,Floor,,Ramp,8.427199,Standard,48 mm
12 mm,1580 mm,1072.16 cm³,1571,1465,9480 mm,6,STR-Model,Floor,,Ramp,8.427199,Standard,48 mm
12 mm,2500 mm,282.74 cm³,1513,1513,2500 mm,1,STR-Model,Floor,,Ramp,2.222363,Standard,48 mm
12 mm,2500 mm,1696.46 cm³,1513,1513,15000 mm,6,STR-Model,Wall,,Ramp,13.334176,Standard,48 mm
12 mm,2500 mm,1696.46 cm³,1513,1513,15000 mm,6,STR-Model,Slab Edge,,Ramp,13.334176,Standard,48 mm
12 mm,3547 mm,56569.17 cm³,1575,1575,500181 mm,141,STR-Model,Floor,,Ramp,444.633686,Standard,48 mm
12 mm,3400 mm,1153.59 cm³,1596,1596,10200 mm,3,STR-Model,Wall,,Ramp,9.06724,Standard,48 mm
12 mm,3400 mm,1153.59 cm³,1596,1596,10200 mm,3,STR-Model,Wall,,Ramp,9.06724,Standard,48 mm
12 mm,3396 mm,1152.20 cm³,1595,1595,10188 mm,3,STR-Model,Floor,,Ramp,9.056327,Standard,48 mm
12 mm,3396 mm,1152.20 cm³,1595,1595,10188 mm,3,STR-Model,Floor,,Ramp,9.056327,Standard,48 mm
12 mm,5435 mm,3688.35 cm³,1599,1599,32612 mm,6,STR-Model,Floor,,Ramp,28.990417,Standard,48 mm
12 mm,12000 mm,8142.76 cm³,1600,433,71998 mm,6,STR-Model,Floor,,Ramp,64.002123,Standard,48 mm
12 mm,12000 mm,8143.01 cm³,433,433,72000 mm,6,STR-Model,Floor,,Ramp,64.004046,Standard,48 mm
12 mm,5435 mm,3688.35 cm³,1599,1599,32612 mm,6,STR-Model,Floor,,Ramp,28.990417,Standard,48 mm
12 mm,12000 mm,8142.76 cm³,1600,433,71998 mm,6,STR-Model,Floor,,Ramp,64.002123,Standard,48 mm
12 mm,12000 mm,8143.01 cm³,433,433,72000 mm,6,STR-Model,Floor,,Ramp,64.004046,Standard,48 mm
12 mm,5562 mm,10065.30 cm³,1624,1503,88997 mm,16,STR-Model,Floor,,Ramp,79.113265,Standard,48 mm
12 mm,12001 mm,1357.10 cm³,1625,,11999 mm,1,STR-Model,Floor,,Ramp,10.666776,Standard,48 mm
12 mm,12001 mm,1357.21 cm³,1626,,12000 mm,1,STR-Model,Floor,,Ramp,10.667678,Standard,48 mm
12 mm,12001 mm,1357.33 cm³,1627,,12001 mm,1,STR-Model,Floor,,Ramp,10.668581,Standard,48 mm
12 mm,12001 mm,1357.04 cm³,1628,,11999 mm,1,STR-Model,Floor,,Ramp,10.666365,Standard,48 mm
12 mm,12001 mm,1357.17 cm³,1629,,12000 mm,1,STR-Model,Floor,,Ramp,10.667375,Standard,48 mm
12 mm,12001 mm,1356.88 cm³,1630,,11997 mm,1,STR-Model,Floor,,Ramp,10.665051,Standard,48 mm
12 mm,12001 mm,1356.99 cm³,1631,,11998 mm,1,STR-Model,Floor,,Ramp,10.665954,Standard,48 mm
12 mm,12001 mm,1357.11 cm³,1625,,11999 mm,1,STR-Model,Floor,,Ramp,10.666856,Standard,48 mm
12 mm,12001 mm,1357.22 cm³,1626,,12000 mm,1,STR-Model,Floor,,Ramp,10.667759,Standard,48 mm
12 mm,12001 mm,1356.94 cm³,1632,,11998 mm,1,STR-Model,Floor,,Ramp,10.665543,Standard,48 mm
12 mm,12001 mm,1357.05 cm³,1628,,11999 mm,1,STR-Model,Floor,,Ramp,10.666445,Standard,48 mm
12 mm,12001 mm,1356.77 cm³,1633,,11997 mm,1,STR-Model,Floor,,Ramp,10.664229,Standard,48 mm
12 mm,12001 mm,1356.77 cm³,1633,,11997 mm,1,STR-Model,Floor,,Ramp,10.664229,Standard,48 mm
12 mm,12001 mm,1356.77 cm³,1633,,11997 mm,1,STR-Model,Floor,,Ramp,10.664229,Standard,48 mm
12 mm,12001 mm,1357.01 cm³,1631,,11999 mm,1,STR-Model,Floor,,Ramp,10.666074,Standard,48 mm
12 mm,12001 mm,1356.77 cm³,1633,,11997 mm,1,STR-Model,Floor,,Ramp,10.664229,Standard,48 mm
12 mm,12000 mm,1357.17 cm³,433,433,12000 mm,1,STR-Model,Floor,,Ramp,10.667341,Standard,48 mm
12 mm,12000 mm,1357.17 cm³,433,433,12000 mm,1,STR-Model,Floor,,Ramp,10.667341,Standard,48 mm
12 mm,5435 mm,614.73 cm³,1599,1599,5435 mm,1,STR-Model,Floor,,Ramp,4.831772,Standard,48 mm
12 mm,12000 mm,1357.17 cm³,433,433,12000 mm,1,STR-Model,Floor,,Ramp,10.667341,Standard,48 mm
12 mm,12000 mm,1357.17 cm³,433,433,12000 mm,1,STR-Model,Floor,,Ramp,10.667341,Standard,48 mm
12 mm,5435 mm,614.73 cm³,1599,1599,5435 mm,1,STR-Model,Floor,,Ramp,4.831772,Standard,48 mm
12 mm,12001 mm,1356.76 cm³,1634,,11996 mm,1,STR-Model,Floor,,Ramp,10.664153,Standard,48 mm
12 mm,12001 mm,1356.76 cm³,1634,,11996 mm,1,STR-Model,Floor,,Ramp,10.664153,Standard,48 mm
12 mm,12001 mm,1356.76 cm³,1634,,11996 mm,1,STR-Model,Floor,,Ramp,10.664153,Standard,48 mm
12 mm,12001 mm,1356.76 cm³,1634,,11996 mm,1,STR-Model,Floor,,Ramp,10.664153,Standard,48 mm
12 mm,12001 mm,1356.76 cm³,1634,,11996 mm,1,STR-Model,Floor,,Ramp,10.664153,Standard,48 mm
12 mm,12001 mm,1357.04 cm³,1635,,11999 mm,1,STR-Model,Floor,,Ramp,10.666369,Standard,48 mm
12 mm,12001 mm,1356.93 cm³,1636,,11998 mm,1,STR-Model,Floor,,Ramp,10.665466,Standard,48 mm
12 mm,12001 mm,1357.21 cm³,1637,,12000 mm,1,STR-Model,Floor,,Ramp,10.667682,Standard,48 mm
12 mm,12001 mm,1357.10 cm³,1638,,11999 mm,1,STR-Model,Floor,,Ramp,10.66678,Standard,48 mm
12 mm,12001 mm,1356.98 cm³,1639,,11998 mm,1,STR-Model,Floor,,Ramp,10.665877,Standard,48 mm
12 mm,12001 mm,1356.87 cm³,1640,,11997 mm,1,STR-Model,Floor,,Ramp,10.664975,Standard,48 mm
12 mm,12001 mm,1357.16 cm³,1352,,12000 mm,1,STR-Model,Floor,,Ramp,10.667299,Standard,48 mm
12 mm,12001 mm,1357.03 cm³,1635,,11999 mm,1,STR-Model,Floor,,Ramp,10.666288,Standard,48 mm
12 mm,12001 mm,1357.32 cm³,1641,,12001 mm,1,STR-Model,Floor,,Ramp,10.668504,Standard,48 mm
12 mm,12001 mm,1357.20 cm³,1637,,12000 mm,1,STR-Model,Floor,,Ramp,10.667602,Standard,48 mm
12 mm,12001 mm,1357.09 cm³,1638,,11999 mm,1,STR-Model,Floor,,Ramp,10.666699,Standard,48 mm
12 mm,5562 mm,10065.30 cm³,1624,1503,88997 mm,16,STR-Model,Floor,,Ramp,79.113265,Standard,48 mm
12 mm,12001 mm,1356.76 cm³,1634,,11996 mm,1,STR-Model,Floor,,Ramp,10.664153,Standard,48 mm
12 mm,12001 mm,1356.76 cm³,1634,,11996 mm,1,STR-Model,Floor,,Ramp,10.664153,Standard,48 mm
12 mm,12001 mm,1356.76 cm³,1634,,11996 mm,1,STR-Model,Floor,,Ramp,10.664153,Standard,48 mm
12 mm,12001 mm,1356.76 cm³,1634,,11996 mm,1,STR-Model,Floor,,Ramp,10.664153,Standard,48 mm
12 mm,12001 mm,1356.76 cm³,1634,,11996 mm,1,STR-Model,Floor,,Ramp,10.664153,Standard,48 mm
12 mm,12001 mm,1357.04 cm³,1635,,11999 mm,1,STR-Model,Floor,,Ramp,10.666369,Standard,48 mm
12 mm,12001 mm,1356.93 cm³,1636,,11998 mm,1,STR-Model,Floor,,Ramp,10.665466,Standard,48 mm
12 mm,12001 mm,1357.21 cm³,1637,,12000 mm,1,STR-Model,Floor,,Ramp,10.667682,Standard,48 mm
12 mm,12001 mm,1357.10 cm³,1638,,11999 mm,1,STR-Model,Floor,,Ramp,10.66678,Standard,48 mm
12 mm,12001 mm,1356.98 cm³,1639,,11998 mm,1,STR-Model,Floor,,Ramp,10.665877,Standard,48 mm
12 mm,12001 mm,1356.87 cm³,1640,,11997 mm,1,STR-Model,Floor,,Ramp,10.664975,Standard,48 mm
12 mm,12001 mm,1357.16 cm³,1352,,12000 mm,1,STR-Model,Floor,,Ramp,10.667299,Standard,48 mm
12 mm,12001 mm,1357.03 cm³,1635,,11999 mm,1,STR-Model,Floor,,Ramp,10.666288,Standard,48 mm
12 mm,12001 mm,1357.32 cm³,1641,,12001 mm,1,STR-Model,Floor,,Ramp,10.668504,Standard,48 mm
12 mm,12001 mm,1357.20 cm³,1637,,12000 mm,1,STR-Model,Floor,,Ramp,10.667602,Standard,48 mm
12 mm,12001 mm,1357.09 cm³,1638,,11999 mm,1,STR-Model,Floor,,Ramp,10.666699,Standard,48 mm
12 mm,12001 mm,1357.10 cm³,1625,,11999 mm,1,STR-Model,Floor,,Ramp,10.666776,Standard,48 mm
12 mm,12001 mm,1357.21 cm³,1626,,12000 mm,1,STR-Model,Floor,,Ramp,10.667678,Standard,48 mm
12 mm,12001 mm,1357.33 cm³,1627,,12001 mm,1,STR-Model,Floor,,Ramp,10.668581,Standard,48 mm
12 mm,12001 mm,1357.04 cm³,1628,,11999 mm,1,STR-Model,Floor,,Ramp,10.666365,Standard,48 mm
12 mm,12001 mm,1357.17 cm³,1629,,12000 mm,1,STR-Model,Floor,,Ramp,10.667375,Standard,48 mm
12 mm,12001 mm,1356.88 cm³,1630,,11997 mm,1,STR-Model,Floor,,Ramp,10.665051,Standard,48 mm
12 mm,12001 mm,1356.99 cm³,1631,,11998 mm,1,STR-Model,Floor,,Ramp,10.665954,Standard,48 mm
12 mm,12001 mm,1357.11 cm³,1625,,11999 mm,1,STR-Model,Floor,,Ramp,10.666856,Standard,48 mm
12 mm,12001 mm,1357.22 cm³,1626,,12000 mm,1,STR-Model,Floor,,Ramp,10.667759,Standard,48 mm
12 mm,12001 mm,1356.94 cm³,1632,,11998 mm,1,STR-Model,Floor,,Ramp,10.665543,Standard,48 mm
12 mm,12001 mm,1357.05 cm³,1628,,11999 mm,1,STR-Model,Floor,,Ramp,10.666445,Standard,48 mm
12 mm,12001 mm,1356.77 cm³,1633,,11997 mm,1,STR-Model,Floor,,Ramp,10.664229,Standard,48 mm
12 mm,12001 mm,1356.77 cm³,1633,,11997 mm,1,STR-Model,Floor,,Ramp,10.664229,Standard,48 mm
12 mm,12001 mm,1356.77 cm³,1633,,11997 mm,1,STR-Model,Floor,,Ramp,10.664229,Standard,48 mm
12 mm,12001 mm,1357.01 cm³,1631,,11999 mm,1,STR-Model,Floor,,Ramp,10.666074,Standard,48 mm
12 mm,12001 mm,1356.77 cm³,1633,,11997 mm,1,STR-Model,Floor,,Ramp,10.664229,Standard,48 mm
12 mm,2420 mm,1642.17 cm³,1647,1647,14520 mm,6,STR-Model,Structural Framing,,Ramp,12.907482,Standard,48 mm
12 mm,2400 mm,1628.60 cm³,626,626,14400 mm,6,STR-Model,Structural Framing,,Ramp,12.800809,Standard,48 mm
12 mm,4410 mm,2992.56 cm³,1651,1510,26460 mm,6,STR-Model,Structural Framing,,Ramp,23.521486,Standard,48 mm
12 mm,4548 mm,6172.60 cm³,1664,1664,54578 mm,12,STR-Model,Floor,,Ramp,48.516642,Standard,48 mm
12 mm,4548 mm,6172.66 cm³,1664,1664,54578 mm,12,STR-Model,Floor,,Ramp,48.517136,Standard,48 mm
12 mm,4410 mm,2992.56 cm³,1651,1510,26460 mm,6,STR-Model,Structural Framing,,Ramp,23.521486,Standard,48 mm
